id,queue_type,sequence_id,sqs_message_id,sent_timestamp,received_timestamp,latency_ms,created_at,updated_at
136,standard,30,5fc105d8-e862-4ca4-bbfb-b31b151df57e,1780594715.72,1780594727.0012,11281.206846237,2026-06-04 17:38:47,2026-06-04 17:38:47
137,standard,37,8762a1eb-1426-4346-ad1f-dd3f9be9e395,1780594716.8603,1780594727.4112,10550.87685585,2026-06-04 17:38:47,2026-06-04 17:38:47
138,standard,40,1c0a7b04-b156-4314-aee3-8ee0d6cf799c,1780594717.356,1780594727.7186,10362.642049789,2026-06-04 17:38:47,2026-06-04 17:38:47
139,standard,35,4fd1735a-5f4c-41b5-a9ab-5acba921adf8,1780594716.4451,1780594728.0278,11582.790136337,2026-06-04 17:38:48,2026-06-04 17:38:48
140,standard,43,771ce293-fa08-468f-bb97-181ea367481e,1780594717.8636,1780594728.4342,10570.686101913,2026-06-04 17:38:48,2026-06-04 17:38:48
141,standard,48,a42f535b-5191-49f8-9b46-f2d4dc6397ae,1780594718.6877,1780594728.741,10053.287982941,2026-06-04 17:38:48,2026-06-04 17:38:48
142,standard,53,d0d636e0-82a8-4928-9b85-dec11f2c570b,1780594719.421,1780594729.0922,9671.1649894714,2026-06-04 17:38:49,2026-06-04 17:38:49
143,standard,46,d7b26cc9-99bf-477b-8618-a79a6910c2ac,1780594718.3952,1780594729.5609,11165.749073029,2026-06-04 17:38:49,2026-06-04 17:38:49
144,standard,41,ab08afaa-dca7-44e0-8115-23163a61de53,1780594717.5767,1780594729.9154,12338.692903519,2026-06-04 17:38:49,2026-06-04 17:38:49
145,standard,56,0d2ee7b2-abb9-4066-8b42-b79eabcef5e5,1780594719.8504,1780594730.3918,10541.401863098,2026-06-04 17:38:50,2026-06-04 17:38:50
146,standard,58,9a93c1be-56d2-4735-85b6-343565ca7eb1,1780594720.1386,1780594730.8935,10754.951000214,2026-06-04 17:38:50,2026-06-04 17:38:50
147,standard,61,f1c3c17a-2f2a-4107-915d-0c088670fed2,1780594720.648,1780594731.3011,10653.028964996,2026-06-04 17:38:51,2026-06-04 17:38:51
148,standard,47,d7c3334d-1592-474b-a684-66c399dd89fa,1780594718.5389,1780594731.6921,13153.211832047,2026-06-04 17:38:51,2026-06-04 17:38:51
149,standard,65,6ae0c566-fa9e-4565-8d16-b67df831de15,1780594721.2826,1780594732.0051,10722.440004349,2026-06-04 17:38:52,2026-06-04 17:38:52
150,standard,49,f6eabc09-cd8e-45a0-b007-77fcdc8e0733,1780594718.8324,1780594732.4279,13595.424890518,2026-06-04 17:38:52,2026-06-04 17:38:52
151,standard,42,4c1c69ce-a839-4a04-8b16-654749e1043e,1780594717.7194,1780594732.8371,15117.730140686,2026-06-04 17:38:52,2026-06-04 17:38:52
152,standard,62,87798db6-73d0-490d-830f-9b69e055d9fd,1780594720.8523,1780594733.2471,12394.814014435,2026-06-04 17:38:53,2026-06-04 17:38:53
153,standard,44,eebf1b5c-c0d8-485e-8484-828ddab31891,1780594718.0091,1780594733.6555,15646.450996399,2026-06-04 17:38:53,2026-06-04 17:38:53
154,standard,51,1aad388e-122a-4c80-b272-9fad6017e188,1780594719.1327,1780594734.0149,14882.230997086,2026-06-04 17:38:54,2026-06-04 17:38:54
155,standard,57,139114bb-3546-4b6d-bb94-c1529d7d5409,1780594719.9943,1780594734.3742,14379.87112999,2026-06-04 17:38:54,2026-06-04 17:38:54
156,standard,70,e13d2e93-2758-4adb-a77c-834e045dc8cb,1780594722.0814,1780594734.7322,12650.750875473,2026-06-04 17:38:54,2026-06-04 17:38:54
